pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3458927.out:DATA, 8, 1622996, 1547748, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459109.out:DATA, 1, 3102296, 3094500, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458979.out:DATA, 2, 3176032, 3094540, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458908.out:DATA, 2, 4722868, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459051.out:DATA, 2, 3176028, 3094508, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459164.out:DATA, 16, 7302188, 6188564, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459086.out:DATA, 16, 3247028, 3094864, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459117.out:DATA, 1, 6195984, 6188144, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459090.out:DATA, 16, 5755168, 4641668, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458999.out:DATA, 8, 1623000, 1547784, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459175.out:DATA, 32, 6495240, 6189024, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459037.out:DATA, 1, 3102292, 3094480, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459194.out:DATA, 2, 3176028, 3094512, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459242.out:DATA, 32, 4390944, 3095064, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458896.out:DATA, 1, 4649136, 4641356, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458923.out:DATA, 4, 6417320, 6188300, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458884.out:DATA, 8, 3618460, 3094628, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459080.out:DATA, 8, 6712264, 6188364, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458887.out:DATA, 8, 5165308, 4641512, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458937.out:DATA, 8, 6712260, 6188396, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459107.out:DATA, 1, 1555452, 1547604, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458862.out:DATA, 2, 3176028, 3094536, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459205.out:DATA, 4, 3323496, 3094580, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459127.out:DATA, 2, 6269848, 6188260, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458971.out:DATA, 1, 6195980, 6188264, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459108.out:DATA, 1, 1555452, 1547604, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459099.out:DATA, 32, 4390940, 3095056, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458988.out:DATA, 4, 1776668, 1547692, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459048.out:DATA, 2, 1629188, 1547664, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459189.out:DATA, 1, 6195984, 6188240, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459182.out:DATA, 1, 3102292, 3094480, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459019.out:DATA, 16, 7302184, 6188560, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459221.out:DATA, 8, 5165312, 4641508, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459092.out:DATA, 16, 7302184, 6188592, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459077.out:DATA, 8, 5165312, 4641516, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458858.out:DATA, 2, 1629188, 1547636, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458909.out:DATA, 2, 4722868, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458903.out:DATA, 2, 1629192, 1547660, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459114.out:DATA, 1, 4649136, 4641352, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459046.out:DATA, 2, 1629192, 1547632, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459112.out:DATA, 1, 4649136, 4641352, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458961.out:DATA, 32, 6495240, 6188848, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458898.out:DATA, 1, 4649132, 4641352, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459236.out:DATA, 16, 7302180, 6188544, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458917.out:DATA, 4, 3323496, 3094576, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459098.out:DATA, 32, 4390944, 3095068, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459241.out:DATA, 32, 4390944, 3095060, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458912.out:DATA, 2, 6269848, 6188292, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458899.out:DATA, 1, 6195984, 6188236, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458989.out:DATA, 4, 3323504, 3094576, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458892.out:DATA, 1, 1555452, 1547604, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459171.out:DATA, 32, 4390944, 3095036, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459008.out:DATA, 8, 6712264, 6188396, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459012.out:DATA, 16, 2178988, 1547840, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459170.out:DATA, 32, 4390940, 3095040, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458938.out:DATA, 16, 2178988, 1547832, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459121.out:DATA, 2, 3176032, 3094540, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459113.out:DATA, 1, 4649132, 4641352, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459183.out:DATA, 1, 3102296, 3094480, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458895.out:DATA, 1, 3102292, 3094480, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459225.out:DATA, 8, 6712264, 6187816, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459190.out:DATA, 2, 1629184, 1549256, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459065.out:DATA, 4, 4870352, 4641444, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459040.out:DATA, 1, 4649132, 4641352, 4, 750000
